2021-06-16 22:37:40,000 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:40,014 | INFO | cocotb | Step 35
2021-06-16 22:37:40,015 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:40,016 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:40,309 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:40,313 | INFO | cocotb | Step 36
2021-06-16 22:37:40,315 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:40,315 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:41,956 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:41,975 | INFO | cocotb | Step 37
2021-06-16 22:37:41,976 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:41,977 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:43,140 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:43,157 | INFO | cocotb | Step 38
2021-06-16 22:37:43,158 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:43,159 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:44,066 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:44,076 | INFO | cocotb | Step 39
2021-06-16 22:37:44,078 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:44,079 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:44,097 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:44,098 | INFO | cocotb | Step 40
2021-06-16 22:37:44,101 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:44,102 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:46,047 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:46,072 | INFO | cocotb | Step 41
2021-06-16 22:37:46,074 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:46,074 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:47,808 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:47,830 | INFO | cocotb | Step 42
2021-06-16 22:37:47,831 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:47,832 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:49,305 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:49,329 | INFO | cocotb | Step 43
2021-06-16 22:37:49,331 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:49,332 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:50,524 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 22:37:50,539 | INFO | cocotb | Step 44
2021-06-16 22:37:50,541 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 22:37:50,541 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 22:37:51,943 | INFO | cocotb | Waiting for rl step or rl reset 
