2021-06-16 19:34:20,586 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:20,589 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:21,398 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:21,409 | INFO | cocotb | Step 34
2021-06-16 19:34:21,412 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:21,413 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:22,503 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:22,522 | INFO | cocotb | Step 35
2021-06-16 19:34:22,525 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:22,526 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:24,415 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:24,443 | INFO | cocotb | Step 36
2021-06-16 19:34:24,445 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:24,446 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:26,151 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:26,176 | INFO | cocotb | Step 37
2021-06-16 19:34:26,179 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:26,180 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:27,664 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:27,683 | INFO | cocotb | Step 38
2021-06-16 19:34:27,686 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:27,686 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:28,498 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:28,512 | INFO | cocotb | Step 39
2021-06-16 19:34:28,515 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:28,516 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:28,849 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:28,854 | INFO | cocotb | Step 40
2021-06-16 19:34:28,856 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:28,857 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:28,892 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:28,893 | INFO | cocotb | Step 41
2021-06-16 19:34:28,895 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:28,896 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:30,301 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:30,322 | INFO | cocotb | Step 42
2021-06-16 19:34:30,323 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:30,324 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:31,987 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:32,007 | INFO | cocotb | Step 43
2021-06-16 19:34:32,009 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:32,009 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:33,661 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:33,688 | INFO | cocotb | Step 44
2021-06-16 19:34:33,691 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:33,691 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:34,290 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:34,296 | INFO | cocotb | Step 45
2021-06-16 19:34:34,300 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:34,300 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:35,527 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:35,544 | INFO | cocotb | Step 46
2021-06-16 19:34:35,545 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:35,546 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:36,529 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:36,542 | INFO | cocotb | Step 47
2021-06-16 19:34:36,543 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:36,544 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:37,006 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:37,013 | INFO | cocotb | Step 48
2021-06-16 19:34:37,015 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:37,016 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:37,040 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:37,041 | INFO | cocotb | Step 49
2021-06-16 19:34:37,044 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:37,045 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:37,825 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:37,834 | INFO | cocotb | Step 50
2021-06-16 19:34:37,836 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:37,838 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:39,285 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:39,311 | INFO | cocotb | Step 51
2021-06-16 19:34:39,313 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:39,313 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:40,975 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:40,998 | INFO | cocotb | Step 52
2021-06-16 19:34:41,000 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:41,000 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:42,113 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:42,127 | INFO | cocotb | Step 53
2021-06-16 19:34:42,129 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:42,130 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:43,616 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:43,637 | INFO | cocotb | Step 54
2021-06-16 19:34:43,641 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:43,642 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:45,379 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:45,404 | INFO | cocotb | Step 55
2021-06-16 19:34:45,407 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:45,408 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:47,013 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:47,039 | INFO | cocotb | Step 56
2021-06-16 19:34:47,041 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:47,041 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:48,752 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:48,776 | INFO | cocotb | Step 57
2021-06-16 19:34:48,778 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:48,778 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:48,991 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:48,994 | INFO | cocotb | Step 58
2021-06-16 19:34:48,996 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:48,997 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:50,941 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:50,965 | INFO | cocotb | Step 59
2021-06-16 19:34:50,967 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:50,968 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:52,721 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:52,749 | INFO | cocotb | Step 60
2021-06-16 19:34:52,751 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:52,751 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:53,269 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:53,276 | INFO | cocotb | Step 61
2021-06-16 19:34:53,278 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:53,278 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:54,771 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:54,792 | INFO | cocotb | Step 62
2021-06-16 19:34:54,794 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:54,795 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:56,555 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:56,578 | INFO | cocotb | Step 63
2021-06-16 19:34:56,580 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:56,581 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:56,616 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:56,617 | INFO | cocotb | Step 64
2021-06-16 19:34:56,620 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:56,621 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:58,174 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:58,196 | INFO | cocotb | Step 65
2021-06-16 19:34:58,198 | INFO | cocotb | Waiting for rl step after rl reset 
2021-06-16 19:34:58,199 | INFO | cocotb | Waiting for actions from rl step 
2021-06-16 19:34:59,815 | INFO | cocotb | Waiting for rl step or rl reset 
2021-06-16 19:34:59,837 | INFO | cocotb | Step 66
