2021-08-02 22:43:41,731 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:43,333 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:43,358 | INFO | cocotb | Step 31
2021-08-02 22:43:43,360 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:43,360 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:45,880 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:45,917 | INFO | cocotb | Step 32
2021-08-02 22:43:45,919 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:45,920 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:48,083 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:48,105 | INFO | cocotb | Step 33
2021-08-02 22:43:48,109 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:48,110 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:48,130 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:48,131 | INFO | cocotb | Step 34
2021-08-02 22:43:48,134 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:48,135 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:48,181 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:48,182 | INFO | cocotb | Step 35
2021-08-02 22:43:48,183 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:48,186 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:50,561 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:50,602 | INFO | cocotb | Step 36
2021-08-02 22:43:50,605 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:50,606 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:57,299 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:57,452 | INFO | cocotb | Step 37
2021-08-02 22:43:57,485 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:57,500 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:43:59,187 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:43:59,201 | INFO | cocotb | Step 38
2021-08-02 22:43:59,203 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:43:59,203 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:08,782 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:08,853 | INFO | cocotb | Step 39
2021-08-02 22:44:08,857 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:08,859 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:10,105 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:10,111 | INFO | cocotb | Step 40
2021-08-02 22:44:10,115 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:10,116 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:12,066 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:12,093 | INFO | cocotb | Step 41
2021-08-02 22:44:12,105 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:12,106 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:14,235 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:14,252 | INFO | cocotb | Step 42
2021-08-02 22:44:14,253 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:14,254 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:15,046 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:15,067 | INFO | cocotb | Step 43
2021-08-02 22:44:15,068 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:15,069 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:20,746 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:20,810 | INFO | cocotb | Step 44
2021-08-02 22:44:20,815 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:20,816 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:22,761 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:22,781 | INFO | cocotb | Step 45
2021-08-02 22:44:22,783 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:22,784 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:22,886 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:22,888 | INFO | cocotb | Step 46
2021-08-02 22:44:22,890 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:22,890 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:23,179 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:23,183 | INFO | cocotb | Step 47
2021-08-02 22:44:23,185 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:23,185 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:24,926 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:24,948 | INFO | cocotb | Step 48
2021-08-02 22:44:24,954 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:24,955 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:28,784 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:28,809 | INFO | cocotb | Step 49
2021-08-02 22:44:28,813 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:28,813 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:34,136 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:34,200 | INFO | cocotb | Step 50
2021-08-02 22:44:34,203 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:34,204 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:34,267 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:34,270 | INFO | cocotb | Step 51
2021-08-02 22:44:34,279 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:34,286 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:37,755 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:37,774 | INFO | cocotb | Step 52
2021-08-02 22:44:37,776 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:37,781 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:40,049 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:40,080 | INFO | cocotb | Step 53
2021-08-02 22:44:40,085 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:40,085 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:42,599 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:42,647 | INFO | cocotb | Step 54
2021-08-02 22:44:42,650 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:42,651 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:44,723 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:44,748 | INFO | cocotb | Step 55
2021-08-02 22:44:44,750 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:44,751 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:46,779 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 22:44:46,806 | INFO | cocotb | Step 56
2021-08-02 22:44:46,809 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 22:44:46,810 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 22:44:46,904 | INFO | cocotb | Waiting for rl step or rl reset 
