2021-08-02 21:20:58,622 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:20:58,629 | INFO | cocotb | Step 30
2021-08-02 21:20:58,632 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:20:58,634 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:01,421 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:01,451 | INFO | cocotb | Step 31
2021-08-02 21:21:01,455 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:01,456 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:03,624 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:03,666 | INFO | cocotb | Step 32
2021-08-02 21:21:03,672 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:03,674 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:07,056 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:07,121 | INFO | cocotb | Step 33
2021-08-02 21:21:07,124 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:07,124 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:08,216 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:08,228 | INFO | cocotb | Step 34
2021-08-02 21:21:08,231 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:08,231 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:08,297 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:08,298 | INFO | cocotb | Step 35
2021-08-02 21:21:08,302 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:08,304 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:10,596 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:10,627 | INFO | cocotb | Step 36
2021-08-02 21:21:10,631 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:10,631 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:11,575 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:11,585 | INFO | cocotb | Step 37
2021-08-02 21:21:11,588 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:11,589 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:12,396 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:12,407 | INFO | cocotb | Step 38
2021-08-02 21:21:12,410 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:12,412 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:12,734 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:12,739 | INFO | cocotb | Step 39
2021-08-02 21:21:12,741 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:12,741 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:16,064 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:16,104 | INFO | cocotb | Step 40
2021-08-02 21:21:16,107 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:16,107 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:18,926 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:18,958 | INFO | cocotb | Step 41
2021-08-02 21:21:18,961 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:18,962 | INFO | cocotb | Waiting for actions from rl step 
2021-08-02 21:21:21,017 | INFO | cocotb | Waiting for rl step or rl reset 
2021-08-02 21:21:21,044 | INFO | cocotb | Step 42
2021-08-02 21:21:21,046 | INFO | cocotb | Waiting for rl step after rl reset 
2021-08-02 21:21:21,047 | INFO | cocotb | Waiting for actions from rl step 
